SKU,FSN,Title,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Other Feature,Description,Highlights,Variation,Rating,Review,RPDV2
BT300MCA132,BOTGJF9XR47BPFPY,,,,,,,,,,,,,,
IGLBTNM0500,BOTFN2MFQADDD8VR,,,,,,,,,,,,,,
BT380BLK130,BOTGG9VGBFZ58HJN,,,,,,,,,,,,,,
BVUNEBLU1000,BOTGS2VEZAYXAFD8,,,,,,,,,,,,,,
BVUNEPNK1000,BOTGS2XBN9XTR33Q,,,,,,,,,,,,,,
BVUNEGRN1000,BOTGS2WRSTKTGWE3,,,,,,,,,,,,,,
BT500SS113,BOTFMYYRRHW5X3AD,,,,,,,,,,,,,,
BVUNEGRN550,BOTFTZKNVGYSYHZJ,,,,,,,,,,,,,,
BT0900BK102,BOTGXE3ZGAD3XJU5,,,,,,,,,,,,,,
BT0600BK102,BOTGXE4BEGDPAFEU,,,,,,,,,,,,,,
BVUNEPNK550,BOTGYDWKJAMT2P4Z,,,,,,,,,,,,,,
BT350SSB109,BOTFZYCFCGZZJEYK,,,,,,,,,,,,,,
FLKT75SSB12,BOTGYEHJBZ7WSMJS,,,,,,,,,,,,,,
FLKT1LSSB11,BOTGYEHJSEK2GHJZ,,,,,,,,,,,,,,
FLKT15BLK19,BOTGY4M4ZZ647XRH,,,,,,,,,,,,,,
BT300BLK126,BOTG8RVDQMHY2VSZ,,,,,,,,,,,,,,
FGFTL350BLU,BOTFZYCF7ZTJH8HZ,,,,,,,,,,,,,,
FLKT50BLK13,BOTFRGG9SD3D7D6Q,,,,,,,,,,,,,,
BT260PK118,BOTFMYYRVGKR8NKU,,,,,,,,,,,,,,
BT420BN101,BOTFMYYRU56CZGGC,,,,,,,,,,,,,,
FLKT1LRED13,BOTGY4M4XM6G9PGD,,,,,,,,,,,,,,
BT200RG116,BOTFMYYRNZKGGGTV,,,,,,,,,,,,,,
BT360BN113,BOTFMYYRVNF4KDZ6,,,,,,,,,,,,,,
FGBOL0750BL_1,BOTF8SFPNQFTDHC8,,,,,,,,,,,,,,
